id,name,district_type
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
27974,"Texas Proposition 17, Property Tax Exemption for Border Security Infrastructure Amendment (2025)",State
27998,"Texas Proposition 1, Establish Special Funds for State Technical College System Amendment (2025)",State
27944,"Texas Proposition 2, Prohibit Capital Gains Tax on Individuals, Estates, and Trusts Amendment (2025)",State
28006,"Texas Proposition 3, Denial of Bail for Certain Violent or Sexual Offenses Punishable as a Felony Amendment (2025)",State
28005,"Texas Proposition 4, Allocate Portion of Sales Tax Revenue to Water Fund Amendment (2025)",State
27951,"Texas Proposition 5, Property Tax Exemption on Retail Animal Feed Amendment (2025)",State
27932,"Texas Proposition 6, Prohibit Taxes on Certain Securities Transactions Amendment (2025)",State
27985,"Texas Proposition 7, Establish Homestead Exemption for Surviving Spouses of Veterans Killed by a Service-Connected Disease Amendment (2025)",State
27949,"Texas Proposition 8, Prohibit Estate Taxes and New Taxes on Estate Transfers, Inheritances, and Gifts Amendment (2025)",State
27958,"Texas Proposition 9, Authorize $125,000 Tax Exemption for Tangible Property Used for Income Production Amendment (2025)",State
27986,"Texas Proposition 10, Property Tax Exemption for Improvements to Homestead Destroyed by Fire Amendment (2025)",State
27976,"Texas Proposition 11, Increase Homestead Tax Exemption for Elderly and Disabled Amendment (2025)",State
28007,"Texas Proposition 12, Change Membership and Authority of State Commission on Judicial Conduct Amendment (2025)",State
27975,"Texas Proposition 13, Increase Homestead Property Tax Exemption Amendment (2025)",State
27950,"Texas Proposition 14, Establish Dementia Prevention and Research Institute of Texas Amendment (2025)",State
27967,"Texas Proposition 15, Parental Rights Amendment (2025)",State
27948,"Texas Proposition 16, Citizenship Voting Requirement Amendment (2025)",State
